,full_sentence,last_word,answer,CoRT_descript,cloze_descript,block_num,cause_effect,dynamic_verb,orientation,negative,tense,spelling_modified,display,break,index,cloze_probability,dataset,CoRT_mean,CoRT_std,target_word,random_word,word_count,condition_name,sampled,hand,iti_dur,start_time,trial_dur,ShowProgressBar,iti_dur_ms,trial_dur_ms,randomise_blocks
0,,,,,,,,,,,,,instructions,,,,,,,,,,,,,,,,,,,
1,Timothy|was|hesitant|when|he|had|to|make|a,decision,TRUE,strong non-CoRT,low cloze,0,no,yes,person,no,past,no,trial,,0,0.4,peele,1.25,0.5,decision,heat,9,hard,FALSE,right,0.5,157.5,7,1,500,7000,
2,She|made|herself|a|sandwich|and|chips|for,lunch,TRUE,strong CoRT,high cloze,0,no,yes,person,no,past,no,trial,,1,0.9,block_baldwin,4.142857143,1.214985793,lunch,smell,8,easy,FALSE,right,0.5,0,7,1,500,7000,
3,"To|finish|seasoning|the|salmon,|Marge|needed",gray,FALSE,strong non-CoRT,low cloze,0,yes,yes,person,no,past,no,trial,,2,0.32,peele,2,1.224744871,salt,gray,7,hard,TRUE,right,0.5,165,7,1,500,7000,
4,The|dog|was|lonely|without|companions|and|started|to,whine,TRUE,strong CoRT,low cloze,0,no,yes,animal,no,present,no,trial,,3,0.39,peele,4,1.224744871,whine,hid,9,hard,FALSE,right,0.5,45,7,1,500,7000,
5,The|couple's|trip|was|ruined|when|it|began|to,rain,TRUE,strong non-CoRT,high cloze,0,yes,no,object,no,past,no,trial,,4,0.85,peele,2,0.7071067812,rain,hammer,9,easy,FALSE,right,0.5,105,7,1,500,7000,
6,The|crime|rate|has|gone|up|this,eat,FALSE,strong non-CoRT,high cloze,0,no,no,object,no,present,no,trial,,5,0.81,block_baldwin,1.142857143,0.377964473,year,eat,7,easy,TRUE,right,0.5,120,7,1,500,7000,
7,In|the|evening|grandpa|smokes|using|his,pipe,TRUE,strong CoRT,high cloze,0,no,yes,person,no,present,no,trial,,6,0.96,peele,4.4,0.5477225575,pipe,rich,7,easy,FALSE,right,0.5,22.5,7,1,500,7000,
8,Karla|had|played|the|game|and|knew|how|to,win,TRUE,strong non-CoRT,high cloze,0,yes,yes,person,no,past,no,trial,,7,0.87,peele,1.8,1.303840481,win,ran,9,easy,FALSE,right,0.5,90,7,1,500,7000,
9,Tommy|was|angry|at|his|mom|and|started|to,yell,TRUE,strong CoRT,low cloze,0,yes,no,person,no,past,no,trial,,8,0.45,peele,4,1.264911064,yell,dog,9,hard,FALSE,right,0.5,67.5,7,1,500,7000,
