,index,full_sentence_,cloze_probability_,dataset_,CoRT_mean,CoRT_std
0,10,A good combination of flavors can be sweet and sour,0.51,peele,1.0,0.0
1,128,After the dog ate the trash he began to vomit,0.58,peele,5.0,0.0
2,193,"Among other things, vegetarians do not eat meat",0.7,peele,1.0,0.0
3,281,Be careful not to touch the pan when it's hot,0.99,peele,1.0,0.0
4,309,Being a father and a businessman made his role difficult,0.31,peele,1.0,0.0
5,467,During the battle all of the sailors fled the ship,0.37,peele,5.0,0.0
6,580,"For many people, textbooks are a good learning tool",0.76,peele,1.0,0.0
7,604,"Gaby disliked spinach, a veggie she claimed she'd always hated",0.7,peele,1.0,0.0
8,748,I could not remember his name,0.92,block_baldwin,1.0,0.0
9,762,"If Phil decides to cook dinner, then cook he will",0.61,peele,1.0,0.0
10,822,Instead of dressing I prefer vinegar and oil,0.76,block_baldwin,1.0,0.0
11,833,It is painful to have diseases like cancer,0.36,peele,1.0,0.0
12,938,Karen put the grilled hamburger on a brioche bun,0.74,peele,5.0,0.0
13,984,Lois is taller than most girls,0.35,block_baldwin,1.0,0.0
14,1070,Mrcoach,0.43,peele,1.0,0.0
15,1146,One must take time out of every day to relax,0.36,peele,1.0,0.0
16,1184,Pure memorization may not be great method to learn,0.63,peele,1.0,0.0
17,1195,Religions vary widely in their conception of god,0.52,peele,1.0,0.0
18,1196,"Respect, riches, and fame were what the knight wanted",0.41,peele,1.0,0.0
19,1226,Sam does not like desserts that are too sweet,0.86,peele,1.0,0.0
20,1247,Sharon majored in Education to learn how to teach,0.95,peele,1.0,0.0
21,1330,Some people won't eat lemons because they are too sour,0.75,peele,1.0,0.0
22,1375,The British businessman was the wealthiest in the whole country,0.36,peele,1.0,0.0
23,1506,The car door hit Steven's face right in the nose,0.62,peele,5.0,0.0
24,1673,The expensive tie was made of silk,0.89,block_baldwin,1.0,0.0
25,1748,The gas station is about two miles down the road,0.88,block_baldwin,1.0,0.0
26,1803,The hungry baby scrunched its face and started to cry,0.74,peele,5.0,0.0
27,1865,The lecture should last about one hour,0.91,block_baldwin,1.0,0.0
28,1954,The new accusations cast a lot of doubt,0.74,peele,1.0,0.0
29,2038,The rambunctious dog pulled and tugged against the leash,0.49,peele,5.0,0.0
30,2049,The restaurants on the west end were very expensive,0.44,peele,1.0,0.0
31,2106,The snow was high on the mountain’s peak,0.65,block_baldwin,1.0,0.0
32,2124,The startled swimmer screamed when she saw the shark fin,0.4,peele,5.0,0.0
33,2125,The state park was popular for its long trails,0.52,block_baldwin,1.0,0.0
34,2169,The tennis player won the match with a high score,0.62,peele,1.0,0.0
35,2220,The vacuum's defects affected its ability to clean,0.38,peele,1.0,0.0
36,2264,The woman’s shirt was so worn it had a hole,0.86,block_baldwin,1.0,0.0
37,2293,There were hundreds of bees buzzing around the hive,0.68,peele,5.0,0.0
38,2447,Too many men are out of  work,0.26,block_baldwin,1.0,0.0
39,192,American Presidents are limited to serving a period of eight    years,0.84,block_baldwin,1.1428571428571428,0.3779644730092272
40,341,Bradley prefers cats over dogs,0.91,block_baldwin,1.1428571428571428,0.3779644730092272
