full_sentence,cloze_probability,dataset,CoRT_mean,CoRT_std,CoRT_descript,target_word,random_word,word_count,cloze_descript,Unnamed: 0,display,break,index,condition_name,sampled,answer,last_word,hand,iti_dur,start_time,trial_dur,ShowProgressBar,block_num,iti_dur_ms,trial_dur_ms,randomise_blocks
A|gas|lamp|is|always|a|good|source|of,0.89,peele,1.75,0.957427107756338,strong non-CoRT,light,water,9,high cloze,,,,,,,,,,,,,,,,,
"Although|some|knives|were|sharp,|others|were|very",0.98,peele,2.0,1.4142135623730951,strong non-CoRT,dull,reach,8,high cloze,,,,,,,,,,,,,,,,,
Be|careful|not|to|touch|the|pan|when|it's,0.99,peele,1.0,0.0,strong non-CoRT,hot,pope,9,high cloze,,,,,,,,,,,,,,,,,
"Before|the|gala,|Katie|couldn't|decide|what|to",0.96,peele,1.75,0.957427107756338,strong non-CoRT,wear,leak,8,high cloze,,,,,,,,,,,,,,,,,
Benny|tried|to|make|a|keep|a|new|resolution|each,0.9,block_baldwin,1.7142857142857142,0.7559289460184545,strong non-CoRT,year,walk,10,high cloze,,,,,,,,,,,,,,,,,
Between|her|two|front|teeth|the|woman|had|a,0.83,peele,2.0,0.7071067811865476,strong non-CoRT,gap,day,9,high cloze,,,,,,,,,,,,,,,,,
Charles|knew|that|the|woman|was|out|of|his,0.82,peele,1.25,0.5,strong non-CoRT,league,expensive,9,high cloze,,,,,,,,,,,,,,,,,
Chris|had|a|thirst|which|Gatorade|could|not,0.95,peele,2.0,1.0,strong non-CoRT,quench,pill,8,high cloze,,,,,,,,,,,,,,,,,
"Ellen|enjoys|poetry,|painting,|and|other|forms|of",0.94,block_baldwin,1.2857142857142858,0.4879500364742666,strong non-CoRT,art,argument,8,high cloze,,,,,,,,,,,,,,,,,
Fred|realized|the|old|house|was|up|for,0.88,block_baldwin,1.5714285714285714,1.1338934190276817,strong non-CoRT,sale,hot,8,high cloze,,,,,,,,,,,,,,,,,
He|was|afraid|to|work|the|night,0.9,block_baldwin,1.4285714285714286,0.7867957924694432,strong non-CoRT,shift,house,7,high cloze,,,,,,,,,,,,,,,,,
Her|job|was|easy|most|of|the,0.94,block_baldwin,1.7142857142857142,1.4960264830861911,strong non-CoRT,time,cat,7,high cloze,,,,,,,,,,,,,,,,,
It|seemed|like|the|accident|shook|her|to|the,0.84,peele,1.25,0.5,strong non-CoRT,core,stay,9,high cloze,,,,,,,,,,,,,,,,,
Kristin|claimed|to|be|the|famous|actor's|biggest,0.96,peele,1.6666666666666667,1.2110601416389966,strong non-CoRT,fan,speed,8,high cloze,,,,,,,,,,,,,,,,,
Many|commuters|complain|about|the|price|of,0.88,block_baldwin,1.5714285714285714,0.7867957924694432,strong non-CoRT,gas,held,7,high cloze,,,,,,,,,,,,,,,,,
Most|aspiring|actors|hope|for|fortune|and,0.88,block_baldwin,1.7142857142857142,1.4960264830861911,strong non-CoRT,fame,dress,7,high cloze,,,,,,,,,,,,,,,,,
"Not|really|knowing|the|answer,|Susan|went|out|on|a",0.87,peele,1.75,1.5,strong non-CoRT,limb,house,10,high cloze,,,,,,,,,,,,,,,,,
Pam|needs|a|new|doorbell|because|hers|doesn't,0.9,peele,1.1666666666666667,0.40824829046386296,strong non-CoRT,work,snow,8,high cloze,,,,,,,,,,,,,,,,,
Sam|does|not|like|desserts|that|are|too,0.86,peele,1.0,0.0,strong non-CoRT,sweet,tie,8,high cloze,,,,,,,,,,,,,,,,,
She|broke|up|with|him|because|it|didn't|feel,0.94,peele,2.0,1.224744871391589,strong non-CoRT,right,cat,9,high cloze,,,,,,,,,,,,,,,,,
Spring|was|Jo’s|favorite|season|of|the,0.94,block_baldwin,1.4285714285714286,1.1338934190276817,strong non-CoRT,year,witch,7,high cloze,,,,,,,,,,,,,,,,,
The|book|was|a|steal|at|such|a|low,0.89,block_baldwin,1.1428571428571428,0.3779644730092272,strong non-CoRT,price,vomit,9,high cloze,,,,,,,,,,,,,,,,,
The|boss|kept|his|employees|on|a|short,0.93,peele,1.4,0.5477225575051662,strong non-CoRT,leash,sign,8,high cloze,,,,,,,,,,,,,,,,,
The|customer|service|at|this|store|is|hit|or,0.97,peele,1.4,0.8944271909999159,strong non-CoRT,miss,bake,9,high cloze,,,,,,,,,,,,,,,,,
The|exit|was|marked|by|a|large,0.9,block_baldwin,1.7142857142857142,0.951189731211342,strong non-CoRT,sign,drink,7,high cloze,,,,,,,,,,,,,,,,,
The|expensive|tie|was|made|of,0.89,block_baldwin,1.0,0.0,strong non-CoRT,silk,house,6,high cloze,,,,,,,,,,,,,,,,,
The|fraternal|twins|were|as|different|as|day|and,0.99,peele,2.0,0.7071067811865476,strong non-CoRT,night,met,9,high cloze,,,,,,,,,,,,,,,,,
The|gambler|had|a|streak|of|bad,0.89,block_baldwin,2.0,1.5275252316519468,strong non-CoRT,luck,fire,7,high cloze,,,,,,,,,,,,,,,,,
The|garbage|from|last|week|had|a|foul,0.9,block_baldwin,1.5714285714285714,1.1338934190276817,strong non-CoRT,smell,book,8,high cloze,,,,,,,,,,,,,,,,,
The|gas|station|is|about|two|miles|down|the,0.88,block_baldwin,1.0,0.0,strong non-CoRT,road,late,9,high cloze,,,,,,,,,,,,,,,,,
The|girl|knew|a|lot|for|her,0.8,block_baldwin,1.2857142857142858,0.4879500364742666,strong non-CoRT,age,dry,7,high cloze,,,,,,,,,,,,,,,,,
The|kind|nun|believed|that|drinking|was|a,0.88,peele,1.5,1.0,strong non-CoRT,sin,potty,8,high cloze,,,,,,,,,,,,,,,,,
The|package|was|sent|through|the,0.95,block_baldwin,2.0,0.8164965809277259,strong non-CoRT,mail,made,6,high cloze,,,,,,,,,,,,,,,,,
The|personal|trainer|took|a|job|at|the|local,0.9,peele,2.0,0.8164965809277259,strong non-CoRT,gym,long,9,high cloze,,,,,,,,,,,,,,,,,
The|princess|was|only|permitted|to|marry|a,0.9,block_baldwin,1.2857142857142858,0.4879500364742666,strong non-CoRT,prince,awoke,8,high cloze,,,,,,,,,,,,,,,,,
The|princess|would|someday|become|a,0.93,block_baldwin,1.4285714285714286,0.7867957924694432,strong non-CoRT,queen,anger,6,high cloze,,,,,,,,,,,,,,,,,
The|stable|was|home|to|Rick's|favorite,0.89,peele,1.5,0.5773502691896257,strong non-CoRT,horse,nap,7,high cloze,,,,,,,,,,,,,,,,,
The|student|spent|every|recess|with|his|best,0.93,peele,1.6,0.8944271909999159,strong non-CoRT,friend,tree,8,high cloze,,,,,,,,,,,,,,,,,
The|woman|said|she|thought|Joe|loved|her|too,0.96,peele,1.6,0.5477225575051661,strong non-CoRT,much,met,9,high cloze,,,,,,,,,,,,,,,,,
Their|water|source|on|the|farm|was|the|old,0.89,peele,1.2,0.4472135954999579,strong non-CoRT,well,lock,9,high cloze,,,,,,,,,,,,,,,,,
They|raised|pigs|on|their,0.91,block_baldwin,2.0,0.8164965809277259,strong non-CoRT,farm,car,5,high cloze,,,,,,,,,,,,,,,,,
They|sat|together|without|speaking|a|single,0.96,block_baldwin,2.0,1.2909944487358056,strong non-CoRT,word,live,7,high cloze,,,,,,,,,,,,,,,,,
"To|stay|warm|in|cold|weather,|wear|a|winter",0.82,peele,2.0,1.1547005383792517,strong non-CoRT,coat,door,9,high cloze,,,,,,,,,,,,,,,,,
Without|her|sunglasses|the|sun|hurt|Erika’s,0.96,block_baldwin,1.7142857142857142,1.1126972805283737,strong non-CoRT,eyes,dog,7,high cloze,,,,,,,,,,,,,,,,,
You|should|always|read|it|over|before|signing|a,0.8,peele,1.25,0.5,strong non-CoRT,contract,sham,9,high cloze,,,,,,,,,,,,,,,,,
