,level_0,index,full_sentence,cloze_probability,dataset,CoRT,CoRT_std,condition,target_word,random_word
0,0,10,A good combination of flavors can be sweet and sour,0.51,peele,1.0,0.0,non-CoRT,sour,girl
1,1,128,After the dog ate the trash he began to vomit,0.58,peele,5.0,0.0,CoRT,vomit,fin
2,2,193,"Among other things, vegetarians do not eat meat",0.7,peele,1.0,0.0,non-CoRT,meat,bell
3,3,281,Be careful not to touch the pan when it's hot,0.99,peele,1.0,0.0,non-CoRT,hot,wear
4,4,309,Being a father and a businessman made his role difficult,0.31,peele,1.0,0.0,non-CoRT,difficult,head
5,5,467,During the battle all of the sailors fled the ship,0.37,peele,5.0,0.0,CoRT,ship,road
6,6,580,"For many people, textbooks are a good learning tool",0.76,peele,1.0,0.0,non-CoRT,tool,whale
7,7,604,"Gaby disliked spinach, a veggie she claimed she'd always hated",0.7,peele,1.0,0.0,non-CoRT,hated,decision
8,8,748,I could not remember his name,0.92,block_baldwin,1.0,0.0,non-CoRT,name,tip
9,9,762,"If Phil decides to cook dinner, then cook he will",0.61,peele,1.0,0.0,non-CoRT,will,live
10,10,822,Instead of dressing I prefer vinegar and oil,0.76,block_baldwin,1.0,0.0,non-CoRT,oil,meat
11,11,833,It is painful to have diseases like cancer,0.36,peele,1.0,0.0,non-CoRT,cancer,dog
12,12,938,Karen put the grilled hamburger on a brioche bun,0.74,peele,5.0,0.0,CoRT,bun,scam
13,13,984,Lois is taller than most girls,0.35,block_baldwin,1.0,0.0,non-CoRT,girls,blow
14,14,1070,Mrcoach,0.43,peele,1.0,0.0,non-CoRT,Mrcoach,three
15,15,1146,One must take time out of every day to relax,0.36,peele,1.0,0.0,non-CoRT,relax,limited
16,16,1184,Pure memorization may not be great method to learn,0.63,peele,1.0,0.0,non-CoRT,learn,contract
17,17,1195,Religions vary widely in their conception of god,0.52,peele,1.0,0.0,non-CoRT,god,month
18,18,1196,"Respect, riches, and fame were what the knight wanted",0.41,peele,1.0,0.0,non-CoRT,wanted,hire
19,19,1226,Sam does not like desserts that are too sweet,0.86,peele,1.0,0.0,non-CoRT,sweet,meat
20,20,1247,Sharon majored in Education to learn how to teach,0.95,peele,1.0,0.0,non-CoRT,teach,mouse
21,21,1330,Some people won't eat lemons because they are too sour,0.75,peele,1.0,0.0,non-CoRT,sour,class
22,22,1375,The British businessman was the wealthiest in the whole country,0.36,peele,1.0,0.0,non-CoRT,country,batch
23,23,1506,The car door hit Steven's face right in the nose,0.62,peele,5.0,0.0,CoRT,nose,cry
24,24,1673,The expensive tie was made of silk,0.89,block_baldwin,1.0,0.0,non-CoRT,silk,wrote
25,25,1748,The gas station is about two miles down the road,0.88,block_baldwin,1.0,0.0,non-CoRT,road,heart
26,26,1803,The hungry baby scrunched its face and started to cry,0.74,peele,5.0,0.0,CoRT,cry,teach
27,27,1865,The lecture should last about one hour,0.91,block_baldwin,1.0,0.0,non-CoRT,hour,jar
28,28,1954,The new accusations cast a lot of doubt,0.74,peele,1.0,0.0,non-CoRT,doubt,crop
29,29,2038,The rambunctious dog pulled and tugged against the leash,0.49,peele,5.0,0.0,CoRT,leash,do
30,30,2049,The restaurants on the west end were very expensive,0.44,peele,1.0,0.0,non-CoRT,expensive,meal
31,31,2106,The snow was high on the mountain’s peak,0.65,block_baldwin,1.0,0.0,non-CoRT,peak,peach
32,32,2124,The startled swimmer screamed when she saw the shark fin,0.4,peele,5.0,0.0,CoRT,fin,silk
33,33,2125,The state park was popular for its long trails,0.52,block_baldwin,1.0,0.0,non-CoRT,trails,moon
34,34,2169,The tennis player won the match with a high score,0.62,peele,1.0,0.0,non-CoRT,score,hated
35,35,2220,The vacuum's defects affected its ability to clean,0.38,peele,1.0,0.0,non-CoRT,clean,chickens
36,36,2264,The woman’s shirt was so worn it had a hole,0.86,block_baldwin,1.0,0.0,non-CoRT,hole,rat
37,37,2293,There were hundreds of bees buzzing around the hive,0.68,peele,5.0,0.0,CoRT,hive,money
38,38,2447,Too many men are out of  work,0.26,block_baldwin,1.0,0.0,non-CoRT,work,doubt
39,39,192,American Presidents are limited to serving a period of eight    years,0.84,block_baldwin,1.1428571428571428,0.3779644730092272,non-CoRT,years,lack
40,40,341,Bradley prefers cats over dogs,0.91,block_baldwin,1.1428571428571428,0.3779644730092272,non-CoRT,dogs,suit
41,41,1459,The book was a steal at such a low  price,0.89,block_baldwin,1.1428571428571428,0.3779644730092272,non-CoRT,price,burp
42,42,1514,The castle was protected by its stone walls,0.86,block_baldwin,1.1428571428571428,0.3779644730092272,non-CoRT,walls,well
43,43,1591,The crime rate has gone up this year,0.81,block_baldwin,1.1428571428571428,0.3779644730092272,non-CoRT,year,lit
44,44,1,A Dalmatian dog is recognized by its black and white spots,0.84,block_baldwin,1.1666666666666667,0.408248290463863,non-CoRT,spots,clown
45,45,39,"After a busy week, I just want to relax",0.53,peele,1.1666666666666667,0.408248290463863,non-CoRT,relax,jig
46,46,711,Her dress was made of a very fine silk,0.6,block_baldwin,1.1666666666666667,0.408248290463863,non-CoRT,silk,chore
47,47,761,If Frieda gets bad news she will probably cry,0.53,peele,1.8333333333333333,0.408248290463863,non-CoRT,cry,tea
48,48,889,Jen's love for children and school convinced her to teach,0.89,peele,1.1666666666666667,0.408248290463863,non-CoRT,teach,thought
49,49,899,Jessica went to the treadmill and started to slowly walk,0.6,peele,4.833333333333333,0.408248290463863,CoRT,walk,kite
50,50,1164,Pam needs a new doorbell because hers doesn't work,0.9,peele,1.1666666666666667,0.408248290463863,non-CoRT,work,mean
51,51,1209,"Roger couldn't whistle yet, as he was just a baby",0.33,peele,1.1666666666666667,0.408248290463863,non-CoRT,baby,wine
52,52,1259,She did not have the right key for the  lock,0.44,block_baldwin,1.1666666666666667,0.408248290463863,non-CoRT,lock,glasses
53,53,1282,She only hosted the event to save money,0.56,peele,1.1666666666666667,0.408248290463863,non-CoRT,money,splash
54,54,1302,She went to bed because she was tired,0.72,block_baldwin,4.166666666666667,0.408248290463863,CoRT,tired,doubt
55,55,1328,Some people have never had a square meal,0.24,block_baldwin,1.1666666666666667,0.408248290463863,non-CoRT,meal,monster
56,56,1518,The cheerleaders were part of the popular crowd,0.48,block_baldwin,1.1666666666666667,0.408248290463863,non-CoRT,crowd,float
57,57,1778,The gym class knew the rope would be a  task,0.26,block_baldwin,1.1666666666666667,0.408248290463863,non-CoRT,task,seagull
58,58,2054,The river ended three hundred miles from its mouth,0.43,block_baldwin,1.1666666666666667,0.408248290463863,non-CoRT,mouth,nap
59,59,2423,To relax herself she liked to listen to smooth jazz,0.47,block_baldwin,1.8333333333333333,0.408248290463863,non-CoRT,jazz,expensive
60,60,2477,Weddings bring out excitement and general feelings of joy,0.34,peele,1.1666666666666667,0.408248290463863,non-CoRT,joy,purse
61,61,1158,Out of the brown egg hatched a tiny yellow chick,0.71,peele,4.833333333333333,0.40824829046386313,CoRT,chick,gag
62,62,1495,The burglar took the purse and quickly turned to run,0.73,peele,4.833333333333333,0.40824829046386313,CoRT,run,lure
63,63,104,"After returning home, Sharon hung her jacket on the hook",0.43,peele,4.8,0.44721359549995787,CoRT,hook,manage
64,64,105,"After returning to his bedroom, the monk removed his robe",0.5,peele,4.8,0.44721359549995787,CoRT,robe,stupid
65,65,111,After she bought the dress she ripped off its tag,0.81,peele,4.8,0.44721359549995787,CoRT,tag,expected
66,66,228,As he left the insulted man made a gesture,0.4,peele,4.8,0.44721359549995787,CoRT,gesture,god
67,67,550,Everyone on the cruise gasped and pointed out the massive whale,0.49,peele,4.8,0.44721359549995787,CoRT,whale,peck
68,68,551,Everyone ran from the man like he was a monster,0.31,peele,4.8,0.44721359549995787,CoRT,monster,push
69,69,693,He wouldn't jump so his sister gave him a push,0.52,peele,4.2,0.44721359549995787,CoRT,push,on
70,70,770,"In class, Paula took out her notebook and wrote",0.42,peele,4.8,0.44721359549995787,CoRT,wrote,steal
